VMRSCode,"Long Description","Short Description ",Obsolete,Comments
ALTRX,"Altronix Corp",Altronix,,
ALUMC,"Alumalloy Metalcasting Company ","Alumalloy Metalcasting Company ",,
ALMVN,ALUMAVENT,,,
ALMBD,"ALUMINUM BODY CORP.",,,
ALCOA,"Aluminum Company of America (ALCOA)",ALCOA,,"Replaces - ALCOW"
ALMLP,"Aluminum Line Products Company","Aluminum Line Products",,"Requested by NAMDX, Scott Murray"
ALUTX,"Aluminum Tank & Truck","Aluminum Tank & Truck",,
ATCTL,"Aluminum Trailer Company (ATC Trailers) ","Aluminum Trailer Company (ATC Trailers)",,
AWMIX,"Aluminum Wheels Mfg. Inc ","Aluminum Wheels Mfg. Inc ",,
ALUPX,Alup,Alup,,
ALUTC,"Alutech Mfg",Alutech,,
ALUTR,Alutrec,Alutrec,,
ALVCO,"Alvco Products",Alvco,,
AMEQI,"AM Equipment Inc","AM Equipment",,
AMGEN,"AM General","AM General",,"Requested by Parts River "
AMHRB,"AM HAIRE BODY COMPANY",,,
AMIXX,"Amalgamated Inc",Amalgamated,,
AMAOL,"Amalie Motor OIl","Amalie Motor Oil",,
AMART,"Amar Trailer Parts",Amar,,
AMZON,"Amazon Hose and Rubber Co ","Amazon Hose and Rubber Co ",,
AMBIN,"Ambac International Corporation","Ambac International Corporation",,
AMBAC,"Ambac - Northwest Fluid Power",Ambac,,
AMBTX,"Ambitex Gloves","Ambitex Gloves",,
AMCAR,"AMC-Arrow Micro Corp","AMC-Arrow Micro Corp",,
AMCAP,"Amcap Distribution Center","Amcap Distribution Center",,
AMEIT,"AME International ","AME International ",,
AMEDX,"Amedex Extinguishers",Amedex,,
AMRLN,"AMER-LINCOLN DIV., SCOTT & FETZER CO.",,,
AMAFL,"Ameraflex Sealing Products","Ameraflex Sealing Products",,
AMETR,AmeraTrail,AmeraTrail,,
AMHYM,"Amercan Hydraulic Mfg","American Hydraulic",,
AMESL,"Ameresco Solar","Ameresco Solar",,
AMERX,"AMEREX CORP.",,,
APWRS,"America's Power Source","America's Power Source",,
AMASC,"American Allsafe Co ","American Allsafe Co ",,
AMRAD,"American Auto Radiator","American Auto Radiator",,"Requested by Parts River "
AMAXL,"American Axle and Manufacturing","American Axle",,
AMBAL,"American Baler","American Baler",,
AMBRG,"American Bearing Company","American Bearing",,
AMBLT,"American Biltrite","American Biltrite",,
AMRBD,"AMERICAN BODY & EQUIPMENT CO.",,,
AMRBS,"AMERICAN BOSCH DIV., AMBAC IND",,,
AMRBC,"American Brake and Clutch","American Brake and Clutch",,
AMRBR,"AMERICAN BRAKEBLOK DIV., ABEX CORP.",,,
ABUXX,"American Builders Unlimited","American Builders Unlimited",,
AMBPI,"American Bus Products Inc","American Bus",,"Requested by Parts River "
AMCCO,"American Cable Co","American Cable",,"Requested by Parts River "
AMRCR,"American Carrier Equipment, Inc.","American Carrier Equipment",,
AMCHR,"American Chrome Company, Inc.","American Chrome",,"Requested by Kirk Nationalease"
"AMCOT ","American Coatings","American Coatings",,
AMCND,"American Condenser","American Condenser",,
ACLRT,"American Cooler Technologies","American Cooler Technologies",,
AMCLG,"American Cooling Systems","American Cooling",,"Requested by FedEx"
ACTIN,"American Cooling Technology Inc ","American Cooling Technology Inc",,
AMCPG,"American Couplings","American Couplings",,
AMECR,"American Crane","American Crane",,
AMCYL,"American Cylinder Company Inc","American Cylinder",,
AMEAG,"American Eagle Accessories Group","American Eagle Accessories",,
AMELI,"American Electric Ignition Co","American Electric Ignition",,
AMEFP,"American Fire Protection","American Fire Protection",,
AMFIR,"American Fire Pump","American Fire Pump",,
AFFXX,"American Forge and Foundry Inc","American Forge and Foundry",YES,"Obsolete - use SUREW"
AMRGS,"AMERICAN GREASE STICK CO.",,,
AMHAU,"American Hauler Industries Inc","American Hauler Industries Inc",,
AMRHS,"AMERICAN HOIST & DERRICK CO.",,,
AMHYD,"American Hydraulics Inc ","American Hydraulics Inc ",,
AMIMG,"American Image Graphics Corp","American Image Graphics",,
AMIMC,"American IMC Inc","American IMC",,
AMINH,"American Industrial Heat Transfer Inc","American Industrial Heat Transfer Inc",,
AIWCX,"American Insulated Wire Corp","American Insulated Wire",,
ISUZU,"American Isuzu Motors, Inc.",Isuzu,,
AMEJT,"American Jetway Corporation","American Jetway",,
ALABS,"American Labs and Systems","American Labs and Systems",,
AMRLF,"American LaFrance","American LaFrance",,
AMRLP,"American Lifting Products, Inc.","American Lifting",,
AMERL,"American Lighting Inc","American Lighting Inc",,
AMLCK,"American Lock Company","American Lock Company",,
AMLUB,"American Lubrication Equipment","American Lubrication Equipment",,
AMPIN,"American Metal & Plastics Inc","American Metal & Plastics",,"Requested by Parts River "
AMBLP,"American Mobile Power","American Mobile Power",,
AMSCX,"American Mobile Satellite Corporation","American Mobile Satellite",,"Extension: x6748Requested by David Foster, Southeastern Freight Lines"
AMRMT,"American Motors Corporation ",AMC,YES,
APGCO,"American Packing & Gasket Co","American Packing & Gasket",,"Requested by Parts River "
AMRPT,"American Parts","American Parts",,
APCCO,"American Power Conversion","American Power ",,"Requested by Parts River JP "
AMEPR,"AMERICAN PRECISION COMPANY",,,
AMERR,"American Racing LLC","American Racing LLC",,
ARDXX,"American Reeling Devices Inc","American Reeling Devices Inc",,
ARIXX,"American Remanufacturers Inc - ARI","American Remanufacturers",YES,"Obsolete - use AMRIN"
AMRIN,"American Remfg Inc - ARI","American Remfg",,"Replaces - ARIXX"
AMERT,"American Ring & Toll Co","American Ring & Tool",,
AMERM,"American Road Machinery","American Road Machinery",,"Requested by Parts River JP "
AMSRT,"American Screen Art","American Screen Art",,
AMSTC,"American Seating Co","American Seating",,
AMSIG,"American Signal Co - AMSIG","American Signal Co",,
AMERS,"American Signal Message Board Co","American Signal ",,"Requested by Parts River "
AMSPT,"American Sportworks","American Sportworks",,
AMRSP,"AMERICAN SPRINGS, INC.",,,
AMRST,"AMERICAN STEEL FOUNDRIES (ASF)",,,
AMSUP,"American Superlite Inc","American Superlite",,"1114 Penrose St Unit 11Sun Valley, Ca. 91352requested by Kirk NationaLease"
AMTRD,"American Tire Distributors Inc","American Tire Distributors Inc",,
AMTAX,"American Towing Alliance",,,"1004 W. Foothills Blvd, suite 101Upland, CA 91786e-mail ''dyates@AMTOWA.com"
AMTRC,"American Tractor","American Tractor",,
AMRTR,"AMERICAN TRAILERS INC.",,,
AMTRN,"AMERICAN TRANSPORTATION CORP.",,,
AMTRM,"American Trim LLC","American Trim",,"Requested by Parts River "
AMRTC,"AMERICAN TRUCK BODY, INC.",,,
AMTRE,"American Truck Equipment","American Truck Equipment",,
AMRTW,"AMERICAN TRUCK WASH, INC.",,,
AMVLV,"American Valve","American Valve",,
AMVAN,"American Van Equipment","American Van Equipment",,
ATVXX,"American Vulko Tread Corporation ","American Vulko Tread Corporation ",,
AMZET,"American Zettler Inc","American Zettler",,
AMRCL,"AMERICAN-COLEMAN CO.",,,
AMLIN,"American-Lincoln Tech Div - Alto US Inc","American-Lincoln Tech",,
AMMSH,"American-Marsh Pumps","American-Marsh Pumps",,
AMERC,Americana,Americana,,"Requested by NAMDX, Scott Murray"
AMCOR,"Americore Technologies",Americore,,
AMFAB,"Amerimax Fabricated Products ","Amerimax Fabricated Products ",,
AMTOL,"Ameritool Manufacturing Inc",Ameritool,,
AMERI,Ameritron,Ameritron,,
AMESX,"Ames True Temper","Ames True Temper",,
AMETK,AMETEK,,,"Replaces - DIXSN"
AMFLO,"Amflow - A & H Enterprises",Amflow,,
Amfor,"Amfor Electronics",Amfor,,
AEMIN,"AMG Engineering & Machine Inc","AMG ",,"Requested by Parts River "
AMGGE,Amgauge,Amgauge,,"Requested by Gordon Trk "
AMIBI,"AMI Bearings Inc","AMI Bearings Inc",,
AMICO,"Amico Brake",Amico,,
AMIDA,"Amida Arrow Boards","Amida ",,"Requested by Parts River "
AMITY,"Amity Industrial Supply","Amity Industrial Supply",,
AMMCO,"Ammco Brake Lathe Part Mfg","Ammco Brake ",,
AMMEX,"Ammex USA",Ammex,,"P O Box 88047Tukwila, Wa 98138Requested by Gordon Trucking"
AMSFE,"Ammoco Safe","Ammoco Safe",,
AMORA,"Amor Alloys","Amor Alloys",,
AMTCC,"AMOT CONTROLS CORPORATION",,,
AMPPR,"AMP PRODUCTS CORP.",,,
AMPRX,"AMP Research","AMP Research",,
AMPCO,"Ampco Manufacturers Inc",Ampco,,
AMPCP,"Ampco Pumps Company","Ampco Pumps Company",,
AMPST,"Ampco Safety Tools","Ampco Safety Tools",,
AMPRE,Ampere,Ampere,,
AMPEC,"Amperite Company",Amperite,,
AMPHA,"Amphenol Aerospace","Amphenol Aerospace",,
AMPHN,"AMPHENOL CORP., RF MICROWAVE OPERATIONS",,,
AMPRO,"Ampro - Frenway Products Inc","Ampro - Frenway Products",,
AMREP,Amrep,Amrep,,
AMSXX,"AMS Automotive","AMS Automotive",,
AMSAX,AMSA,AMSA,,
AMSAF,"AMSAFE Commercial Products",AMSAFE,,"22937 Gallatin WayElkhart, In. 46514Requested by SEFL "
AMSCO,"Amsco Valley Forge","Amsco Valley Forge",,
AMSIL,"Amsoil, Inc.",Amsoil,,"Superior, Wisconsin54880Requested by NationaLease"
AMTEC,Amtec,Amtec,,"Requested by Parts River "
AMTRK,Amtrack,Amtrack,,"Requested by Rich Viehdorfer, National Grid"
AMTCO,"Amtran Corp",Amtran,,"Requested by Parts River "
AMZXX,"AMZ Equipment Manufacturer","AMZ Equipment",,
ANADV,"Analog Devices Inc","Analog Devices Inc",,
ANACN,"Anamet Canada Inc","Anamet Canada Inc",,
ANCHB,"Anchor Bolt & Screw",Anchor,,"Requested by FedEx"
ANCRB,"Anchor Brand Welding Products","Anchor Brand Welding",,
ANCBR,"Anchor Brass","Anchor Brass",,
ANCHM,"ANCHOR MOUNTS",,YES,"Obsolete - use ANCRP"
"ANCRP ","Anchor Parts","Anchor Parts",,"Replaces  - ANCHM"
ANCHR,"ANCHORLOK DIV., ROYAL INDUSTRIES",,YES,"Obsolete - use HALDX"
ANCXX,"ANCO Products",ANCO,,"Replaces - ANCOX"
ANCOR,Ancor,Ancor,,
ANCRA,"ANCRA CORPORATION",ANCRA,,
ANDAC,"Andac Automotive ","Andac Automotive ",,
ANDGA,Andariega,Andariega,,
ANDSN,"Andersen Flaps Inc","Andersen Flaps",,
ANDBA,"Anderson Barrows","Anderson Barrows",,
ANDBR,"Anderson Brass Co.","Abco Brass",,"Requested by FedEx"
ANCOX,"ANDERSON COMPANY, THE",,YES,"Obsolete - use ANCXX"
ANDER,"Anderson Manufacturing Company","Anderson Manufacturing Company",,
ANDPP,"Anderson Power Products","Anderson Power",,"Requested by FedEx"
ANDPR,"Anderson Products","Anderson Products",,
ANDRE,"Andre Niermann - Automotive Electrical ","Andre Niermann",,
ANDBL,"Andrew Billets and Son","Andrew Billets",,
ANDRW,"ANDREWS MACHINE SCREW CO.",,,
ANDRD,"Android Automotive Manufacturing","Android Automotive",,
ANEST,"Anest Iwata USA, Inc","Anest Iwata USA",,
ANFIN,"Anfield Industries Inc","Anfield Industries Inc",,
"ANGLG ","Angel-Guard Products Inc","Angel-Guard Products Inc",,
"ANGII ","ANGI International","ANGI International",,
HELIX,"Anhui Heli Co Ltd","Anhui Heli",,
ANIXT,"Anixter Wire and Cable Company",Anixter,,
ANSBR,Ansaldobreda,Ansaldobreda,,
ANSLL,"ANSELL EDMONTH INDUSTRIAL, INC.",,,
ANSUL,Ansul,Ansul,,
ANTHS,"ANTHES DIVISION, GLEASON CORP.",,,
ANTHY,"Anthony Liftgates",,,"1037 West Howard StreetPontiac, IL  61764requested by Mike Kramer, Kirk Nationalease"
ANTIS,"Anti-Seize Technology","Anti-Seize Technology",,
ANVIL,"Anvil International","Anvil International",,
AOSAF,"AO Safety - 3M brand","AO Safety",,
APAIR,"AP Air Inc","AP Air",,
APEXH,"AP Exhaust Products Inc","AP Exhaust",,"300 Dixie TrailGoldsboro, NC 27530Requested by Fedex"
APNAA,"AP NORTH AMERICAN AFTERMARKET DIV.",,,
APPRD,"AP Products","AP Products",,
APACH,"Apache Hose & Belting Co Inc","Apache Hose & Belt",,
APHPR,"Apache Pressure Products","Apache Pressure Products",,
APCOX,APCO,APCO,,
APEIN,"APE Industries AB","APE Industries",,
APEMX,"APEM an IDEC Company","APEM ",,
APRTC,"Aperia Technologies","Aperia Technologies",,
APEXX,"APEX, DIV. COOPER POWER TOOLS",,,
APEXS,"Apex Supply","Apex Supply",,
APTOL,"Apex Tool Group, LLC","Apex Tool Group",,
APIHT,"API Heat Transfer ","API Heat Transfer ",,
APINT,"API International Inc ","API International Inc ",,
APLXX,APL,APL,,
APLOC,Aplock,Aplock,,
APMCX,"APM Corporation","APM Corporation",,
APMSL,"APM Hexseal","APM Hexseal",,
APOLO,Apollo,Apollo,,
APLOA,"Apollo Adhesives","Apollo Adhesives",,
APLBL,"Apollo Ball Valve Div. of Conbraco Ind., Inc.",Apollo,,
APLCN,"Appalachian Trailers","Appalachian Trailers",,
APPLT,"APPLETON ELECTRIC CO.",,,
APCYT,"Applied Cryo Technologies","Applied Cryo Technologies",,
APLEN,"Applied Energy Technologies ","Applied Energy",,
AITXX,"Applied Industrial Technologies","Applied Industrial",,
APRIL,"April Super Flo ","April Super Flo ",,
APPWR,"Aprotech PowerTrain LLC",Aprotech,,"Requested by Parts River "
APSXX,APS,APS,,
APSCO,"APSCO, Inc.",APSCO,,"Requested by Jim Robinson, AutoZone"
APTXX,APT,APT,,
APTIV,Aptiv,Aptiv,,
AQPWR,"Aqua Power","Aqua Power",,
AQUAX,"Aqua Tech","Aqua Tech",,
AQUTL,Aquatrol,Aquatrol,,
AQULN,"Aquiline Tire Chains","Aquiline Tire Chains",,
ARFLT,"AR Filter","AR Filter",,
ARAXX,"ARA Mfg","ARA Mfg",,"Requested by TMW "
ARALM,Aralmex,Aralmex,,
ARBXX,"ARB USA","ARB USA",,
ARBON,"Arbon Equipment Corp","Arbon Equipment",,
ARCRE,"ARC Rebuilders","ARC Rebuilders",,
ARCHX,"Arch Environmental Equipment Inc","Arch Environmental",,
ARCOX,Arco,Arco,,
ARCOM,"Arco Marine","Arco Marine",,
ARCON,"Arcon Corporation",Arcon,,
ARCNC,Arconic,Arconic,,
ARTFX,"Arctic Fox","Arctic Fox",,
ARCST,"Arctic Start Batteries","Arctic Start Batteries",,
ARCTR,"ARCTIC TRAVELER DIV. of TRANE",,,
ARDEN,Arden,Arden,,
AREXX,"ARE Inc",ARE,,
ARENC,"Arenco Inc","Arenco Inc",,
ARCTL,"Arens Controls Inc","Arens Controls",,"Requested by Parts River "
ARGOX,"Argo Instruments Corporation",Argo,,
ARGOH,Argo-Hytos,Argo-Hytos,,
ARGUS,"Argus Industries","Argus Industries",,
ARIHT,ARI-Hetra,ARI-Hetra,,
ARIEL,Ariel,Ariel,,
ARIEN,"Ariens Co",Ariens,,"Requested by Parts River "
ARIST,Aristo-Aire,Aristo-Aire,,
ARSTN,Ariston,Ariston,,
ARTCH,"Aritech Moose","Aritech Moose",,
ARIZE,"Arize Technologies ","Arize Technologies ",,
ACIXX,"Arizona Correctional Industries","Arizona Correctional Industries",,
ARJAY,"Arjay Specialities","Arjay Specialities",,
ARKWL,"Ark Weld","Ark Weld",,
ARKMS,"Arkansas Mill Supply Inc","Arkansas Mill Supply",,"Requested by Parts River "
ARKSP,"Arkansas Safety Products Inc ","Arkansas Safety Products Inc ",,
ARKTR,"Arkansas Trailer Manufacturing, Inc.","Arkansas Trailer",,
ARLIN,"Arlin Heater Products","Arlin Heater",,
APRMH,"Arlington Precision Machworks","Arlington Precision Machworks",,
ARLON,Arlon,Arlon,,
ARMAH,"Arm and Hammer","Arm and Hammer",,
ARMAD,Armada,Armada,,
ARMFT,Armafilt,Armafilt,,
ARMLT,"Armlift, Div. of TG Industries",Armlift,,"PO Box 109Armstrong, IA. 50514Requested by National Grid"
ARMRL,"ARMOR ALL PRODUCTS CO.",,,
ARMPE,"Armour Petroleum Service & Equipment","Armour Petroleum",,
ARMSC,Armsco,Armsco,,
ARMST,"Armstrong Industrial Tools","Armstrong Industrial Tools",,
ARMRW,"Armstrong Rim & Wheel","Armstrong Rim & Wheel",,
ARMRB,"ARMSTRONG RUBBER CO.",,,
ARMSD,"Armstrong - Siddeley","Armstrong - Siddeley",,
ARNES,"Arnes Welding, Ltd.",Arnes,,
ARNOT,"Arnott Inc ","Arnott Inc ",,
AROFM,"Aro Fluid Management ","Aro Fluid Management ",,
ARROC,"Arrow Chemical Products Inc ","Arrow Chemical Products Inc ",,
ARELC,"Arrow Electronics","Arrow Electronics",,
ARROW,"Arrow Manufacturing Company","Arrow Mfg",,
ARPNE,"Arrow Pneumatics Inc","Arrow Pneumatics Inc",,
ARWSF,"Arrow Safety Devices","Arrow Safety Devices",,"Requested by Parts River "
ARRTR,"Arrow Trailers Corporation","Arrow Trailers",,
ARRWM,Arrow-Master,Arrow-Master,,
ARRCT,"Arrowhead Composites & Thermo Plastics","Arrowhead Composites",,"Requested by Parts River "
ARWHD,"Arrowhead Electrical Products Inc","Arrowhead Electrical Products",,
ARSXX,ARS,ARS,,
ARTML,"Artesia Metals","Artesia Metals",,
ARTCT,"Artic Cat, Inc.","Artic Cat",,
ARTWA,Arts-Way,Arts-Way,,
ARAIR,"Arvin Air","Arvin Air",,"Requested by Parts River "
ARVID,"Arvin Industries, Inc.","Arvin Industries",,
ARVIN,"Arvin Ride and Motion Control Products",Arvin,,"New 5 alpha assigned 3/30/98"
ARMER,ArvinMeritor,ArvinMeritor,,"Replaces - MERTRReplaces - RCKIN"
ASXXX,"AS Filter","AS Filter",,
ASASP,"ASA Electronics","ASA Electronics",,
ASAHY,"ASA Hydraulik of America Inc","ASA Hydraulik of America Inc",,
ASAQP,"ASA Safety Equipment","ASA Safety Equipment",,
ASAHI,Asahi,Asahi,,
ASASF,"ASAS Filter","ASAS Filter",,
ASCIN,"ASC Industries",ASC,,"Requested by FedEx"
ASCTG,"Ascent Tranz Group LLC ","Ascent Tranz Group LLC ",,
ACSOX,ASCO,ASCO,,
ASCOX,Ascot,Ascot,,
ASCOT,"Ascot Supply Corporation","Ascot Supply Corporation",,
ASGCO,"ASGCO Manufacturing Inc","ASGCO Manufacturing",,
ASHDR,"ASHCROFT DRESSER INSTRUMENTS",,,
ASHDW,"ASHDOWN MFG. CORP.",,,
ASHIP,"ASHLAND INDUSTRIAL PRODUCTS, DIV. VALVOLINE",,,
ASHLN,"ASHLAND OIL, INC.",,,
ASHIH,"Ashtabula Industrial Hardware Co","Ashtabula Industrial",,"Requested by Parts River "
ASIXX,ASI,ASI,,
ASKXX,"ASK Products Inc","ASK Products Inc",,
ASMIN,"ASM Industries","ASM Industries",,
ASPNA,"Aspen Aerials ","Aspen Aerials",,
ASCTR,"Aspen Custom Trailers",Aspen,,"Requested by TMW System"
ASPRF,"Aspen Refrigerants","Aspen Refrigerants",,
ASPZR,"Asphalt Zipper Inc","Asphalt Zipper",,"Requested by Parts River "
ASPLN,"ASPLUNDH MANUFACTURING DIV.",,,
ASEMP,"Assembled Products Corporation","Assembled Products Corporation",,
"ASTWK ","Asset Works","Asset Works",,
AAUTO,"Associate Automotive SA","Associate Automotive SA",,
ABSXX,"Associated Brake Supply","Associated Brake Supply",,
ASEQP,"Associated Equipment","Associated Equipment",,
ASPOW,"Associated Power Inc ","Associated Power Inc ",,
ASSPG,"Associated Spring","Associated Spring",,"Requested by Parts River "
ASPRG,"Associated Spring Raymond","Associated Spring Raymond",,
ATSXX,"Associated Truckers Supply","Associated Truckers Supply",,
AOEMX,"Association of Equipment Manufacturers","Association of Equipment Manufacturers",,
ASTEL,"Assured Telematics Inc","Assured Telematics Inc",,
ASTBR,"AST Bearings LLC","AST Bearings ",,
ASTRL,"AsteRail Ltd",AsteRail,,
ASMRT,"Aston Martin","Aston Martin",,
ASTRA,ASTRA,ASTRA,,
ASTRO,"Astro Industrial Machine, Ltd.",Astro,,
ASTRP,"Astro Pneumatic Tool Co","Astro Pneumatic Tool Co",,
ASTDY,"Astrodyne TDI","Astrodyne TDI",,
ASTCP,"Astron Corporation","Astron Corporation",,
ASTRN,"Astron Wireless",Astron,,
ASUSC,"Asus Computer International ","Asus Computer International ",,
ASVXX,ASV,ASV,,
"ATAPX ","Atap Australian Trucking and Auto Parts","Atap Australian Trucking and Auto Parts",,
ATCLT,"ATC Lighting and Plastic Inc","ATC Lighting and Plastic",,
ATCOX,"Atco Hose","Atco Hose",,
ATCPX,ATCP,ATCP,,
ATDXX,"ATD Tools, Inc - Advanced Tool Design","ATD Tools",,
ATEBR,"ATE Brakes","ATE Brakes",,
ATECO,"Ateco Equipment, Inc.",Ateco,,
ATENT,"ATEN Technologies ","ATEN Technologies ",,
ATHSX,"Athens Plow Company, Inc","Athens Plow",,
ATHEY,"Athey Products Corporation",Athey,,
ATHOL,"Athol Manufacturing Corp ","Athol Manufacturing ",,
ATIGL,"ATI Auto Glass",ATI,,"300 W MainIrene, SD "
ATKXX,"ATK North America","ATK North America",,
ATKNS,ATKINSON,,,
ALBXX,"Atlanta Light Bulbs","Atlanta Light Bulbs",,
ACTSX,"Atlantic Coast Trailer Sales","Atlantic Coast Trailer Sales",,
ATLIN,"Atlantic India Rubber Company","Atlantic India",,
ATLMO,"Atlantic Mobile","Atlantic Mobile",,"Requested by National Grid"
ATLPA,"Atlantic Pacific Auto","Atlantic Pacific Auto",,
ATSAF,"Atlantic Safety Products","Atlantic Safety Products",,
ATLTR,"ATLANTIC TRUCK & TRAILER, LTD.",,,
ATBAT,"Atlas Battery Ltd","Atlas Battery ",,
ATLCN,"ATLAS CENTENNIAL TRUCK BODY MFG. CO.",,,
ATLCO,"Atlas Compressors Inc","Atlas Compressors",,"Requested by Parts River "
ATLCP,"Atlas Copco, Inc.","Atlas Copco",,
ATLHW,"Atlas, H. Weyhausen, K.G","Atlas, H. Weyhausen",,
ATLAS,"ATLAS HOIST & BODY INC.",,,
ATLRB,"Atlas Rubber","Atlas Rubber",,
ATLRC,"Atlas Rubber of Canada","Atlas Rubber of Canada",,
ATWLD,"Atlas Welding Accessories Inc","Atlas Welding",,
ATLET,Atlet,,,"520 Pratt Ave.Schaumburg, Il 60193Phone: 874-352-7373requested by Transervice, inc."
ATOMI,"Atomic Services Inc","Atomic Services Inc",,
ATPXX,ATP,ATP,YES,"Obsolete - use ATPIN"
ATPIN,"ATP Inc.","ATP Inc.",,"Replaces - ATPXX"
ATRTR,"ATR Transmission","ATR Transmission",,
ATROX,"ATRO Engineered Systems, Inc,",ATRO,,"ATRO Engineered Systems, Inc,PO Box 29;Hwys P & 19Cuba, MO 65453Fax: 636-940-1579Products:  Steering and Suspension Components and Bushings"
ATSCO,"Atsco - Heavy Duty Power Steering",Atsco,,
ATTWD,"Attwood Corporation","Attwood Corporation",,
ATWPR,"Atwood Mobile Products","Atwood Mobile",,"Requested by Parts River "
AUVCO,"Au-Ve Co",Au-Ve,YES,"Osolete - use AVECO"
AUBCL,"Auburn Clutch Company, Inc.","Auburn Clutch",,"Requested by Jim Robinson, AutoZone"
AUBGR,"Auburn Gear Inc","Auburn Gear Inc",,
AUDIX,Audi,Audi,,"Bob Brown requested. DUNS # needed."
AURCP,"Audio Research Corporation","Audio Research Corporation ",,
AUDVX,"Audiovox Corporation",Audiovox,,
AUGST,"August International of Hickory, Inc","August International",,
AUMND,"AUMAND TRAILER & EQUIP CO. LTD.",,,
ACCCX,"Auora Cord & Cable Company","Auora Cord & Cable",,
AURAS,"Aurasound Inc","Aurasound Inc",,
AURRA,"Aurora Bearing","Aurora Bearing",,
ACNCC,"Aurora Cord & Cable Company ","Aurora Cord & Cable Company ",,
AUROA,"Aurora Parts & Accessories, LLC","Aurora Parts & Accessories",,
AUSAX,AUSA,AUSA,,
AUSTB,"Austin Bearings","Austin Bearings",,
AUSEL,"Austin Electronics div of Whelen Engineering Co","Austin Electronics",,
AUSHW,"Austin Hardware & Supply","Austin Hardware",,"Requested by FedEx"
ATNHS,"Austin Hose","Austin Hose",,
AUSTG,"Austin Texas Golf Venture","Austin Texas Golf Venture",,
ASTWS,"AUSTIN-WESTERN DIV., CLARK EQUIP. CO.",,,
AUSWS,AustinWestran,AustinWestran,,"Replaces - WESTR"
ASTFT,Austoft,Austoft,,
AUTAC,"AUTAC INC.",,,
AUTEC,"AUTEC Car Wash Systems Inc","AUTEC Car Wash Systems Inc",,
AUTEX,"Autex Automotive Devices, LTD",Autex,,
ATRAN,"Authorized Transmission","Authorized Transmission",,
AUTSE,"Auto 7 Inc","Auto 7 Inc",,
ABIAN,"Auto Bianchi","Auto Bianchi",,
